체험마을명,시군구명,체험프로그램구분,체험프로그램명,소재지도로명주소,대표전화번호,홈페이지주소
365행복마을,정선군,기타+전통문화체험+만들기체험,고추장만들기+전만들기체험+전기보트+잼만들기체험+장아찌체험+요리체험+신데렐라마차+숙박+비누공예체험+레진공예체험+공예체험+깡통열차+농산물재배.수확체험+뗏목타기+독도만들기체험+곤드레밥체험,강원특별자치도 정선군 북평면 장열길 83-2,033-562-1365,NULL
가람뜰,보성군,농작물경작체험+건강+만들기체험+전통문화체험,김장김치담그기체험+호박칼국수만들기+천연비누만들기+자전거타기체험+우드버닝공예+사과잼만들기+사과따기+별자리망원경관+두부만들기+꽃차만들기,전라남도 보성군 겸백면 충의로 2496,061-853-3326,NULL
가송마을,안동시,농작물경작체험+기타,두부만들기+사과따기체험,경상북도 안동시 도산면 퇴계로 3443,054-859-6660,NULL
가야권역소리마실마을,합천군,농작물경작체험+만들기체험+자연생태체험+건강+기타,감자케기+성수기한달캠핑+주말농장+캠핑체험+한달주말캠핑체험+탄소고무신+천연염색+옥수수다따기+배부른소리솥밥+도자기체험,경상남도 합천군 가야면 가야산로 1267,NULL,http://www.sorimasilcamp.com
각사뽈똥마을,합천군,기타+자연생태체험,대장경테마파크+해인사소리길생태체험+해인사역사탐방+펜션+뽈똥따기및효소담그기+산나물캐기+산삼캐기,경상남도 합천군 가야면 야천로 101,055-934-0905,http://cafe.naver.com/boldong
갈두천권역,태안군,농작물경작체험+만들기체험+전통문화체험,D아트펜+프린트페인팅+진로체험-자동자kt만들기+조물떡체험+전통놀이(달팽이집찾기)+미니어쳐+목공공방체험+마을생태체험+마늘캐기+떡메치기+드론축구+두부만들기체험+넥타만들기+꽃차만들기+인성코딩보드게임+음악활동외+요리체험+예절교육+염색체험+연만들어날리기+에너지체험장-쉐플러조리기+에너지체험-자동차만들기경주하기+양말목공예+암호만들기체험+아망드쇼콜라만들기+아로마테라피+브리코어린이건축교실+분장사체험+북아트로만나는세상+복숭아체험+배깍두기만들기+국궁활쏘기+공방체험도마만들기+고구마심기및캐기+갯벌생태관찰하기+감자캐기체험+가래떡만들기체험,충청남도 태안군 원북면 대기길 12-20,041-675-4848,NULL
강변사리마을,임실군,전통문화체험+건강+자연생태체험+기타,마당극관람+자연물로만들기체험+지겟길걷기+천연아이스크림만들기체험+음식물만들기체험,전북특별자치도 임실군 덕치면 강동로 865-20,063-642-5351,http://gang42.com
개나리마을,횡성군,농작물경작체험+자연생태체험+기타+전통문화체험+만들기체험,EM샴프만들기+생태체험+쌀베이킹+체험+찰옥수수따기+지문트리+전통썰매타기+수영장사용+사과수확체험+감자캐기+고추장담그기+떡메치기+나무호루라기만들기,강원특별자치도 횡성군 갑천면 외갑천로107번길 71,NULL,NULL
개미들마을,정선군,농작물경작체험+자연생태체험+만들기체험+기타,개미들꽃김밥+식사+자전거하이킹체험+숲체험+수공예한복포프리+수공예체험C+수공예체험B+수공예체험A+송어잡기체험+떡메치기체험+떡공예+한지거울+풍경차타기+풍경차+난타치기+풀패키지체험C+풀패키지체험B+풀패키지체험A+타임캡슐+조물조물바람떡만들기+전래놀이+개미들빙수만들기+난타체험+농사체험(수확)+달걀꾸러미+농사체험(파종)+개미들꽃김밥만들기,강원특별자치도 정선군 남면 광락로 354,070-8876-9991,NULL
갱번마루,남해군,기타+만들기체험+건강+자연생태체험+전통문화체험,골프체험+대국산성역사탐방+도둑게야+내마음을훔쳐봐+독일집만들기+시골운동회+테라리움+캠핑체험+초롱불만들기+전통염색체험+우럭.진고동잡이+쏙잡이체험+동죽잡이체험+도둑게체험+도둑게스트링아트+농촌체험+그라운드골프체험+나만의목걸이만들기,경상남도 남해군 설천면 설천로 291-6,055-862-5590,http://남해체험알리미.kr/s1/s1_2.php
